title,artist,top genre,year,bpm,danceability,energy,loudness,liveness,valence,duration _s,acousticness,speechiness,popularity
I Love You 3000 II,88rising,pop,2019,180,34,44,-7,41,35,210,85,7,70
I Have Ur Back,Ghastly,brostep,2019,128,57,71,-7,10,37,218,5,5,44
I Don't Miss U,BUMZU,k-hop,2018,80,63,60,-7,27,40,223,57,4,42
I Care - Intro,ILLENIUM,edm,2019,182,8,16,-7,15,4,33,86,4,51
Hurts (feat. Louis The Child & Whethan),Wafia,australian hip hop,2019,129,56,75,-7,55,35,201,17,5,57
How To Never Stop Being Sad,dandelion hands,lo-fi beats,2013,97,25,41,-7,10,13,131,95,4,59
Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),Megan Thee Stallion,houston rap,2019,99,81,87,-7,21,57,199,0,16,77
Honey Whiskey,SATICA,indie electropop,2017,140,66,50,-7,11,20,185,7,12,45
Holy,Kayzo,brostep,2017,150,95,26,-7,13,23,230,1,23,41
"Hold On, We're Going Home - Live [Live]",Lykke Li,art pop,2015,138,40,23,-7,17,22,304,67,3,38
Hold On (with Georgia Ku),ILLENIUM,edm,2019,76,74,51,-7,52,40,235,5,4,63
Hero,Said the Sky,edm,2019,78,67,56,-7,11,26,249,17,5,56
Here With Me (feat. Nevve),ARMNHMR,brostep,2020,145,78,38,-7,20,41,205,38,4,44
"Hello, Anxiety",Phum Viphurit,bedroom pop,2019,126,50,84,-7,10,81,265,59,4,61
Hell on Earth,Rezz,brostep,2019,180,92,60,-7,21,28,185,0,13,54
Haute (feat. J Balvin & Chris Brown),Tyga,pop rap,2019,103,72,95,-7,6,35,161,8,11,68
Hard To Say Goodbye (feat. Chloe Angelides),Ekali,bass trap,2019,153,76,55,-7,10,36,197,8,5,61
Happy Now - Acoustic,Zedd,complextro,2018,161,33,63,-7,12,55,152,90,7,58
Happier - Stripped,Marshmello,brostep,2018,94,31,63,-7,20,15,251,74,3,57
HIGHEST IN THE ROOM,Travis Scott,rap,2019,76,43,60,-7,21,6,176,5,3,89
Gravity,yetep,pop edm,2018,146,73,49,-7,13,16,207,15,5,46
Gorgeous (& Blanke with Bipolar Sunshine),ILLENIUM,edm,2019,180,88,52,-7,33,29,277,5,12,55
Goodbye To A World,Porter Robinson,big room,2014,96,35,44,-7,8,10,329,45,5,59
Good Together,SHY Martin,electropop,2017,120,42,60,-7,11,30,205,20,7,56
Good Things Fall Apart (with Jon Bellion) [Travis Barker Remix],ILLENIUM,edm,2019,75,88,49,-7,32,40,210,0,4,56
Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],ILLENIUM,edm,2019,130,81,56,-8,8,50,247,1,5,66
Good Things Fall Apart (with Jon Bellion) - Stripped,ILLENIUM,edm,2019,150,31,57,-8,10,65,208,76,3,60
Good Things Fall Apart (with Jon Bellion),ILLENIUM,edm,2019,144,60,64,-8,12,42,217,1,3,70
Going Bad (feat. Drake),Meek Mill,hip hop,2018,86,50,89,-8,25,54,181,26,9,84
Goddamn (feat. A Boogie wit da Hoodie),Tyga,pop rap,2019,105,57,95,-8,12,42,211,7,23,67
Glocks (feat. Milano The Don),Riot Ten,brostep,2019,75,87,65,-8,10,20,167,1,12,44
Girls Have Fun (feat. G-Eazy & Rich The Kid),Tyga,pop rap,2019,100,74,89,-8,22,66,176,1,24,67
Get Wicked,WAVEDASH,brostep,2019,150,95,50,-8,10,12,195,0,44,30
Get Silly,V.I.C.,atl hip hop,2008,75,81,85,-8,6,67,227,8,35,56
Get Low featuring Ying Yang Twins,Lil Jon & The East Side Boyz,atl hip hop,2011,101,62,77,-8,12,15,334,3,4,65
Gasolina,Daddy Yankee,latin,2004,96,80,86,-8,8,75,193,33,6,77
Gas Pedal,Sage The Gemini,dance pop,2014,97,54,84,-8,12,43,208,3,8,68
Fuckboy,BAUM,indie electropop,2020,125,76,66,-8,12,64,180,17,4,42
Friends & Foes (feat. Snoop Dogg),Higher Brothers,chinese hip hop,2019,95,62,93,-8,10,9,187,24,19,48
Freesol (feat. Skyler Stonestreet) - Blastoyz & Ranji Remix,Seven Lions,brostep,2019,142,94,56,-8,9,45,257,3,6,47
Free (with Drew Love),Louis The Child,edm,2019,125,56,65,-8,14,17,222,1,4,69
Freaky,Tory Lanez,canadian hip hop,2018,105,56,97,-8,11,36,174,0,6,71
Freak Bitch,Blueface,cali rap,2018,100,54,88,-8,22,41,106,39,49,52
